Funding,Scale,Need,Access,Index,No.,FBO 1,FBO 2,FBO 3,FBO 4,FBO 5,FBO 6,FBO 7,FBO 8,FBO 9,FBO 10,FBO 11,FBO 12,FBO 13,Avg Rank,,,,,,
1,2,1,2,1212,11,2,3,7,3,7,7,1,7,7,7,4,1,7,4.846,,,,,,
1,1,1,2,1112,2,7,1,7,7,1,2,7,5,7,3,7,7,4,5.000,,,,,,
1,3,1,2,1312,20,7,7,7,7,5,5,7,1,1,1,7,7,3,5.000,,,,,,
3,2,1,2,3212,65,7,7,7,5,5,1,2,7,4,7,7,7,1,5.154,,,,,,
1,1,2,2,1122,5,1,7,7,4,7,7,5,7,4,7,3,3,7,5.308,,,,,,
2,2,1,2,2212,38,7,5,5,7,7,7,7,2,7,4,2,2,7,5.308,,,,,,
1,2,2,2,1222,14,7,7,4,7,4,5,7,4,3,2,7,7,7,5.462,,,,,,
1,2,3,2,1232,17,5,7,7,5,5,5,4,5,7,5,7,7,2,5.462,,,,,,
2,3,1,2,2312,47,7,7,7,1,5,3,4,7,2,7,7,7,7,5.462,,,,,,
2,1,1,2,2112,29,3,7,7,4,5,4,3,7,7,7,7,7,5,5.615,,,,,,
2,1,2,2,2122,32,7,7,4,7,7,7,7,3,4,4,4,5,7,5.615,,,,,,
3,1,3,2,3132,62,7,4,7,7,3,5,7,7,5,7,5,5,5,5.692,,,,,,
2,2,2,2,2222,41,5,7,7,4,7,5,5,7,4,7,7,7,4,5.846,,,,,,
3,1,1,2,3112,56,7,7,7,7,7,7,7,5,3,4,1,7,7,5.846,,,,,,
3,1,2,2,3122,59,5,3,7,5,7,3,4,7,7,7,7,7,7,5.846,,,,,,
1,2,1,3,1213,12,7,7,3,7,4,7,7,5,7,5,7,7,4,5.923,,,,,,
2,2,3,2,2232,44,7,7,5,7,7,4,7,7,7,7,5,4,4,6.000,,,,,,
3,3,1,2,3312,74,7,4,7,7,7,7,7,3,7,7,3,5,7,6.000,,,,,,
2,1,1,3,2113,30,7,7,1,7,7,7,7,5,7,3,7,7,7,6.077,,,,,,
2,3,2,2,2322,50,7,2,7,7,7,7,7,4,7,5,5,7,7,6.077,,,,,,
2,3,3,2,2332,53,7,5,7,3,7,7,5,7,5,5,7,7,7,6.077,,,,,,
