Index,f1,f2,f3,f4,f5,n1,n2,n3,n4,n5
1111,24.5,24.5,24.5,23.5,23,24.5,2,24.5,24.5,4
1112,24.5,1,24.5,23.5,23,17,24.5,8,1,24.5
1113,24.5,24.5,24.5,23.5,23,24.5,3,24.5,24.5,24.5
1121,24.5,24.5,24.5,23.5,23,24.5,1,24.5,17,24.5
1122,1,24.5,24.5,8,23,24.5,10,5,24.5,24.5
1123,24.5,24.5,2,23.5,23,24.5,24.5,24.5,3,24.5
1131,24.5,24.5,24.5,23.5,23,24.5,24.5,24.5,24.5,24.5
1132,24.5,24.5,24.5,23.5,23,24.5,17,16,5,24.5
1133,24.5,24.5,24.5,23.5,23,24.5,24.5,16,24.5,24.5
1211,24.5,24.5,24.5,23.5,3,12,24.5,24.5,24.5,3
1212,2,3,24.5,3,23,24.5,7,1,24.5,24.5
1213,24.5,24.5,3,23.5,8,8,24.5,4,24.5,24.5
1221,3,24.5,13,15,23,24.5,24.5,13,24.5,24.5
1222,24.5,24.5,8,23.5,6,10,24.5,24.5,2,24.5
1223,6,24.5,24.5,15,23,24.5,24.5,24.5,24.5,24.5
1231,24.5,24.5,24.5,23.5,23,24.5,24.5,16,24.5,24.5
1232,9,24.5,24.5,11,11,17,17,24.5,8,24.5
1233,24.5,24.5,12,23.5,23,24.5,24.5,24.5,24.5,24.5
1311,24.5,13,24.5,23.5,23,24.5,24.5,24.5,24.5,24.5
1312,24.5,24.5,24.5,23.5,13,6,24.5,3,24.5,1
1313,24.5,6,24.5,23.5,23,24.5,24.5,12,24.5,2
1321,24.5,24.5,24.5,23.5,23,24.5,24.5,11,24.5,15
1322,11,17,24.5,12,23,2,24.5,24.5,10,24.5
1323,24.5,24.5,17,23.5,23,24.5,24.5,24.5,24.5,24.5
1331,24.5,24.5,24.5,23.5,23,24.5,24.5,16,24.5,17
1332,24.5,17,24.5,23.5,23,24.5,24.5,24.5,24.5,24.5
1333,24.5,24.5,24.5,23.5,23,24.5,24.5,24.5,24.5,24.5
2111,24.5,24.5,24.5,23.5,23,24.5,17,24.5,17,6
2112,4,17,24.5,7,9,1,24.5,9,24.5,24.5
2113,24.5,24.5,1,23.5,23,24.5,24.5,7,7,24.5
2121,5,24.5,5,15,23,24.5,24.5,16,24.5,24.5
2122,24.5,24.5,7,23.5,23,24.5,12,24.5,24.5,24.5
2123,8,24.5,24.5,14,23,24.5,24.5,24.5,24.5,24.5
2131,24.5,24.5,24.5,23.5,23,24.5,24.5,16,17,24.5
2132,16,24.5,24.5,13,23,24.5,17,24.5,24.5,24.5
213,24.5,24.5,4,23.5,23,24.5,24.5,24.5,11,24.5
2211,10,24.5,6,15,5,17,24.5,6,24.5,7
2212,24.5,11,11,23.5,23,24.5,4,24.5,17,24.5
2213,7,24.5,24.5,15,14,3,24.5,24.5,24.5,24.5
2221,24.5,24.5,24.5,23.5,23,24.5,24.5,24.5,17,24.5
2222,12,24.5,24.5,6,14,16,24.5,24.5,24.5,24.5
2223,24.5,24.5,10,23.5,23,24.5,24.5,24.5,16,24.5
2231,15,24.5,17,15,23,24.5,24.5,24.5,24.5,24.5
2232,24.5,24.5,16,23.5,14,11,24.5,24.5,15,24.5
2233,17,24.5,24.5,15,23,24.5,24.5,24.5,24.5,24.5
2311,24.5,8,24.5,23.5,23,24.5,24.5,14,24.5,24.5
2312,17,24.5,24.5,1,12,17,5,24.5,12,11
2313,24.5,17,17,23.5,23,24.5,24.5,24.5,24.5,8
2321,17,24.5,17,15,23,24.5,24.5,24.5,17,17
2322,24.5,2,17,23.5,23,24.5,24.5,24.5,24.5,24.5
2323,14,24.5,24.5,15,23,24.5,24.5,24.5,17,24.5
2331,24.5,24.5,24.5,23.5,23,24.5,24.5,24.5,24.5,17
2332,17,12,24.5,4,23,24.5,24.5,24.5,17,24.5
2333,24.5,24.5,17,23.5,23,24.5,24.5,24.5,24.5,24.5
3111,24.5,17,24.5,23.5,14,9,24.5,24.5,4,24.5
3112,24.5,24.5,24.5,23.5,23,24.5,24.5,10,24.5,17
3113,24.5,14,24.5,23.5,2,4,11,15,24.5,10
3121,24.5,24.5,24.5,23.5,23,24.5,24.5,24.5,17,5
3122,13,4,24.5,5,7,17,24.5,24.5,24.5,24.5
3123,24.5,24.5,15,23.5,23,24.5,6,24,14,24.5
3131,24.5,24.5,24.5,23.5,23,24.5,17,16,24.5,17
3132,24.5,7,24.5,23.5,4,24.5,24.5,24.5,6,24.5
